Table 1
Store Number,Nickname,Address,Address 2,City,State,Postal,Phone
110,Coit & Campbell,7522 Campbell Rd,Ste 108,Dallas,TX,75248,214-484-1941
1,Conroe,2121 West Davis St,,Conroe,TX,77304,936-521-1618
5,South Post Oak,10105 S Post Oak Rd,,Houston,TX,77096,713-360-6862
2,Atascocita,6730 Atascocita Rd,Ste 115,Humble,TX,77346,281-973-9825
4,Garland,5949 Broadway Blvd,Ste 110,Garland,TX,75043,469-443-0033
72,Denton,1725 W University Dr,,Denton,TX,76201,940-435-0161
105,Willowbrook,7608 FM 1960,Suite B,Houston,TX,77070,281-661-1760
